Year,Month,Minutes,Delay
1995,Jan,39368473,0
1995,Jan,4008365,1
1995,Feb,36848145,0
1995,Feb,2496078,1
1995,Mar,41174753,0
1995,Mar,2812240,1
1995,Apr,39725779,0
1995,Apr,2485797,1
1995,May,40148195,0
1995,May,2609651,1
1995,Jun,38305700,0
1995,Jun,3864365,1
1995,Jul,40200046,0
1995,Jul,2982194,1
1995,Aug,40442287,0
1995,Aug,3027341,1
1995,Sep,39825805,0
1995,Sep,1183093,1
1995,Oct,40646101,0
1995,Oct,2215052,1
1995,Nov,38178970,0
1995,Nov,3059723,1
1995,Dec,36671277,0
1995,Dec,5957103,1
1996,Jan,35137555,0
1996,Jan,6512804,1
1996,Feb,36286419,0
1996,Feb,4140399,1
1996,Mar,40155245,0
1996,Mar,3760918,1
1996,Apr,39908267,0
1996,Apr,2848774,1
1996,May,40375743,0
1996,May,3334176,1
1996,Jun,38534717,0
1996,Jun,4515811,1
1996,Jul,39881788,0
1996,Jul,4564739,1
1996,Aug,40458506,0
1996,Aug,4592062,1
1996,Sep,39643648,0
1996,Sep,2996500,1
1996,Oct,40719392,0
1996,Oct,3636522,1
1996,Nov,39565543,0
1996,Nov,3006586,1
1996,Dec,38381930,0
1996,Dec,6482000,1
1997,Jan,39411616,0
1997,Jan,5401482,1
1997,Feb,37646131,0
1997,Feb,3661553,1
1997,Mar,42474985,0
1997,Mar,3302304,1
1997,Apr,41362057,0
1997,Apr,3053190,1
1997,May,43146835,0
1997,May,2201554,1
1997,Jun,40554590,0
1997,Jun,4066925,1
1997,Jul,42406735,0
1997,Jul,3815591,1
1997,Aug,42925406,0
1997,Aug,3459746,1
1997,Sep,42368843,0
1997,Sep,1401729,1
1997,Oct,43103151,0
1997,Oct,2304280,1
1997,Nov,40620150,0
1997,Nov,2903757,1
1997,Dec,41255691,0
1997,Dec,4142928,1
1998,Jan,41556837,0
1998,Jan,3705110,1
1998,Feb,38253239,0
1998,Feb,3220111,1
1998,Mar,42377823,0
1998,Mar,3841116,1
1998,Apr,41627723,0
1998,Apr,2936853,1
1998,May,41339468,0
1998,May,3675110,1
1998,Jun,38487421,0
1998,Jun,5990098,1
1998,Jul,42789340,0
1998,Jul,3375770,1
1998,Aug,42403881,0
1998,Aug,3670037,1
1998,Sep,40347787,0
1998,Sep,1375180,1
1998,Oct,43860875,0
1998,Oct,2251936,1
1998,Nov,43224438,0
1998,Nov,1384851,1
1998,Dec,42124364,0
1998,Dec,4231295,1
1999,Jan,39362356,0
1999,Jan,5623412,1
1999,Feb,39945128,0
1999,Feb,2021606,1
1999,Mar,44488579,0
1999,Mar,3029562,1
1999,Apr,42381447,0
1999,Apr,3889982,1
1999,May,42964610,0
1999,May,4043589,1
1999,Jun,40635476,0
1999,Jun,6109900,1
1999,Jul,41872577,0
1999,Jul,6060520,1
1999,Aug,44845018,0
1999,Aug,4092931,1
1999,Sep,43830171,0
1999,Sep,2300693,1
1999,Oct,46098561,0
1999,Oct,2558947,1
1999,Nov,44692522,0
1999,Nov,1790446,1
1999,Dec,45900852,0
1999,Dec,2680342,1
2000,Jan,43916971,0
2000,Jan,3338770,1
2000,Feb,41717619,0
2000,Feb,3673264,1
2000,Mar,46411949,0
2000,Mar,3665598,1
2000,Apr,44100596,0
2000,Apr,4008759,1
2000,May,44234955,0
2000,May,4677407,1
2000,Jun,40644526,0
2000,Jun,7394368,1
2000,Jul,43438232,0
2000,Jul,6262095,1
2000,Aug,44315171,0
2000,Aug,6127941,1
2000,Sep,44833029,0
2000,Sep,3020237,1
2000,Oct,46704780,0
2000,Oct,3763939,1
2000,Nov,44356344,0
2000,Nov,4313515,1
2000,Dec,41458449,0
2000,Dec,7159169,1
2001,Jan,49357163,0
2001,Jan,3225504,1
2001,Feb,43863951,0
2001,Feb,4113327,1
2001,Mar,49349431,0
2001,Mar,3811485,1
2001,Apr,49162790,0
2001,Apr,2640345,1
2001,May,51739320,0
2001,May,1695663,1
2001,Jun,47527279,0
2001,Jun,4548143,1
2001,Jul,50803765,0
2001,Jul,3490974,1
2001,Aug,50381342,0
2001,Aug,4471817,1
2001,Sep,38823902,0
2001,Sep,893427,1
2001,Oct,43839427,0
2001,Oct,423818,1
2001,Nov,41776268,0
2001,Nov,581967,1
2001,Dec,42601219,0
2001,Dec,1745418,1
2002,Jan,43331601,0
2002,Jan,1443803,1
2002,Feb,40719352,0
2002,Feb,467145,1
2002,Mar,44404234,0
2002,Mar,2420233,1
2002,Apr,44273150,0
2002,Apr,1377194,1
2002,May,45637492,0
2002,May,1250746,1
2002,Jun,43738071,0
2002,Jun,2827816,1
2002,Jul,46048330,0
2002,Jul,2367264,1
2002,Aug,47246381,0
2002,Aug,1411481,1
2002,Sep,45243980,0
2002,Sep,597760,1
2002,Oct,46073034,0
2002,Oct,666636,1
2002,Nov,43649578,0
2002,Nov,304502,1
2002,Dec,42808526,0
2002,Dec,2649060,1
2003,Jan,55250250,0
2003,Jan,1185924,1
2003,Feb,47657319,0
2003,Feb,2878192,1
2003,Mar,56562312,0
2003,Mar,1371676,1
2003,Apr,53881102,0
2003,Apr,202578,1
2003,May,53591327,0
2003,May,849594,1
2003,Jun,52937055,0
2003,Jun,2070684,1
2003,Jul,53531154,0
2003,Jul,3578033,1
2003,Aug,53355507,0
2003,Aug,3723689,1
2003,Sep,53156573,0
2003,Sep,472780,1
2003,Oct,56505033,0
2003,Oct,400711,1
2003,Nov,52727666,0
2003,Nov,2451523,1
2003,Dec,53619935,0
2003,Dec,4151175,1
2004,Jan,54561981,0
2004,Jan,4453582,1
2004,Feb,53589923,0
2004,Feb,3236792,1
2004,Mar,59845015,0
2004,Mar,2285537,1
2004,Apr,58662972,0
2004,Apr,1579055,1
2004,May,56203895,0
2004,May,4559655,1
2004,Jun,53841754,0
2004,Jun,6565252,1
2004,Jul,57270011,0
2004,Jul,5609362,1
2004,Aug,56960897,0
2004,Aug,4363515,1
2004,Sep,54518790,0
2004,Sep,586126,1
2004,Oct,57161916,0
2004,Oct,2440707,1
2004,Nov,53541478,0
2004,Nov,3389703,1
2004,Dec,52641738,0
2004,Dec,6407317,1
2005,Jan,51419857,0
2005,Jan,5703112,1
2005,Feb,50599320,0
2005,Feb,3308302,1
2005,Mar,56721083,0
2005,Mar,4622599,1
2005,Apr,57290980,0
2005,Apr,1521033,1
2005,May,59254318,0
2005,May,1847910,1
2005,Jun,54392881,0
2005,Jun,5867194,1
2005,Jul,53200421,0
2005,Jul,8480027,1
2005,Aug,56231219,0
2005,Aug,5536462,1
2005,Sep,55265619,0
2005,Sep,1486400,1
2005,Oct,56398872,0
2005,Oct,2666266,1
2005,Nov,54613976,0
2005,Nov,2903607,1
2005,Dec,52597509,0
2005,Dec,6275059,1
2006,Jan,55676667,0
2006,Jan,3209074,1
2006,Feb,49949906,0
2006,Feb,3816913,1
2006,Mar,57436049,0
2006,Mar,4728633,1
2006,Apr,55885595,0
2006,Apr,3711093,1
2006,May,56909201,0
2006,May,4095290,1
2006,Jun,53303709,0
2006,Jun,7063732,1
2006,Jul,55441818,0
2006,Jul,6884550,1
2006,Aug,57392669,0
2006,Aug,5363410,1
2006,Sep,53346500,0
2006,Sep,4816587,1
2006,Oct,54568056,0
2006,Oct,6402709,1
2006,Nov,55081667,0
2006,Nov,4177841,1
2006,Dec,54568119,0
2006,Dec,6543062,1
2007,Jan,56609746,0
2007,Jan,5539272,1
2007,Feb,48432486,0
2007,Feb,7285520,1
2007,Mar,57727580,0
2007,Mar,6263303,1
2007,Apr,56828433,0
2007,Apr,5129470,1
2007,May,59337490,0
2007,May,4386899,1
2007,Jun,52921249,0
2007,Jun,9866891,1
2007,Jul,56226540,0
2007,Jul,8928807,1
2007,Aug,57276011,0
2007,Aug,8031739,1
2007,Sep,57888534,0
2007,Sep,2222395,1
2007,Oct,59229632,0
2007,Oct,4045957,1
2007,Nov,58634533,0
2007,Nov,2866367,1
2007,Dec,52752262,0
2007,Dec,9584429,1
2008,Jan,55442217,0
2008,Jan,5982183,1
2008,Feb,50448732,0
2008,Feb,7152596,1
2008,Mar,56843526,0
2008,Mar,6696873,1
2008,Apr,57183247,0
2008,Apr,3993998,1
2008,May,58958420,0
2008,May,3582346,1
2008,Jun,54480597,0
2008,Jun,7899796,1
2008,Jul,58002843,0
2008,Jul,6138875,1
2008,Aug,58194743,0
2008,Aug,4151732,1
2008,Sep,53123536,0
2008,Sep,369991,1
2008,Oct,55675525,0
2008,Oct,229383,1
2008,Nov,52309892,0
2008,Nov,1044160,1
2008,Dec,46392189,0
2008,Dec,8753045,1
